Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00147756259395757,8.21845006862554E-06,0.0188954527563554,0,0,0,0.963959688128523,0.00076464659892651,1.7282920177337E-07,4.59199794656661E-05,0.00400549261717651,-2.69153855232848E-07,0.00450681920337098,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/base_link.STL,,leftFoot-3,left_foot_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ankle_roll_link,-3.19189119579733E-16,-4.23272528138341E-16,0.00753616587911932,0,0,0,0.0211480217601867,3.0078309265158E-06,2.15178205718781E-21,-1.38018578396145E-21,2.39343934421868E-05,-8.61864530236711E-22,2.41430026869804E-05,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,,leftAnkleRollBearing-5;leftAnklePitchConnector-1,leftleg_ankle_roll_link,A_left_leg_ankle_roll_link,left_ankle_roll_joint,revolute,-0.057829,0,0.061,0,0,0,base_link,1,0,0,0,0,0,0,,,0.001,0.001,,,0.5,1
left_ankle_pitch_link,-0.0207316120259954,1.54770014638012E-05,0.259723559109397,0,0,0,5.76679284108554,0.0776045258458737,2.32024003365781E-07,0.000656501046124502,0.0779897455673723,-2.3646740519934E-05,0.010199292684289,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,,leftAnklePitchBearing-1;leftCalf-2,leftleg_ankle_pitch_link,A_left_leg_ankle_pitch_link,left_ankle_pitch_joint,revolute,0,0,0.02,0,0,0,left_ankle_roll_link,0,1,0,0,0,0,0,,,0.001,0.001,,,,
left_knee_link,-4.68412531220985E-07,-0.0285190328556709,0.298207276281094,0,0,0,11.2473199329375,0.231394539046698,3.46863178993827E-08,-4.34611635392063E-07,0.23131650688248,-1.15772455527937E-07,0.0318374636696992,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_knee_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_knee_link.STL,,leftThigh-2,left_leg_knee_link,A_left_leg_knee_pitch_link,left_knee_joint,revolute,-0.00682279496215328,0.0283257733413101,0.451826742624898,0,0,0,left_ankle_pitch_link,0,1,0,0,0,0,0,,,0.001,0.001,,,,
left_hip_yaw_link,-1.38777878078145E-17,0,0.0100000000000002,0,0,0,0.00207140911614443,8.19932775140505E-08,-1.20049130604911E-39,2.35013577324407E-24,8.19932775140505E-08,-1.0818034198996E-24,2.58926139518054E-08,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,,leftHipYawBearing-1,left_leg_yaw_link,A_left_leg_yaw_link,left_hip_yaw_joint,revolute,0,-0.0289918232919442,0.53,0,0,0,left_knee_link,0,0,1,0,0,0,0,,,0.001,0.001,,,,
left_hip_roll_link,-1.38777878078145E-17,0,0,0,0,0,0.00258926139518054,8.09144185993918E-09,-2.93284426076806E-22,-5.24550154355243E-22,2.16176355024708E-06,-6.68716204919971E-38,2.16176355024708E-06,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,,leftHipRollBearing-3,left_leg_roll_link,A_left_leg_roll_link,left_hip_roll_joint,revolute,0,0,0.025,0,0,0,left_hip_yaw_link,-1,0,0,0,0,0,0,,,0.001,0.001,,,,
left_hip_pitch_link,-0.0355458718643971,-0.12499444274396,0.234605037143754,0,0,0,34.9443328221057,0.938544710094071,-2.0331577583601E-17,0.00014521360309156,0.669072804964509,-1.16560868739367E-16,0.436476449408669,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,,Body-4;leftHipPitchBearing-2,left_leg_pitch_link,A_left_leg_pitch_link,left_hip_pitch_joint,revolute,0.0350000000000003,0,0.0332868080116531,0,0,0,left_hip_roll_link,0,-1,0,0,0,0,0,,,,,,,,
right_hip_pitch_link,0,5.55111512312578E-17,-4.44089209850063E-16,0,0,0,0.00155355683710832,4.68494483690478E-07,3.25521292672765E-22,-5.32106603847927E-38,4.85486511596351E-09,8.1712142783193E-23,4.68494483690478E-07,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,,rightHipPitchBearing-1,right_leg_pitch_link,A_left_leg_pitch_link,right_hip_pitch_joint,revolute,-0.03,-0.25,0,0,0,0,left_hip_pitch_link,0,-1,0,0,0,0,0,,,,,,,,
right_hip_roll_link,0,5.55111512312578E-17,0,0,0,0,0.00258926139518054,8.09144185993917E-09,3.11624869286562E-26,-4.05917158250963E-22,2.16176355024708E-06,9.11095119082179E-39,2.16176355024708E-06,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,,rightRollBearing-1,right_leg_roll_link,A_right_leg_roll_link,right_hip_roll_joint,revolute,-0.00499999999999971,0,-0.0332868080116486,0,0,0,right_hip_pitch_link,-1,0,0,0,0,0,0,,,,,,,,
right_hip_yaw_link,-4.68313941168197E-07,-0.000495339653499738,-0.241869127047037,0,0,0,11.2499504027152,0.231289032349411,3.47317628346842E-08,-4.34819239879602E-07,0.23121740843918,-1.16506312120142E-07,0.0318330773238254,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://10Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,,rightThigh-3,right_leg_yaw_link,A_right_leg_yaw_link,right_hip_yaw_joint,revolute,0,0,-0.0150000000000019,0,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
