Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00147756259395748,-0.00834544793833968,0.0169526310972381,0,0,0,0.963959688128522,0.000764646598926509,-2.01441074941015E-05,4.12660795003148E-05,0.00410367138424209,-0.00019894880816695,0.00440864043630538,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/base_link.STL,,leftFoot-3,left_foot_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ankle_roll_link,-3.33066907387547E-16,0,0.00753616587911976,0,0,0,0.0211480217601871,3.00783092651585E-06,-2.64962493812986E-20,-1.04026233834669E-19,2.39343934421872E-05,8.470329472543E-22,2.41430026869808E-05,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,,leftAnkleRollBearing-5;leftAnklePitchConnector-1,leftleg_ankle_roll_link,A_left_leg_ankle_roll_link,left_ankle_roll_joint,revolute,-0.057829,-0.026965,0.054716,0.45789,0,0,base_link,1,0,0,0,0,0,0,,,0.001,0.001,,,0.5,1
left_ankle_pitch_link,-0.0207317303642309,1.67345011066189E-05,0.259729862105342,0,0,0,5.76656468733709,0.0776044619304364,7.19823730648515E-07,0.00065610153723552,0.0779899065277586,-2.34315651991088E-05,0.0101993125079718,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,,leftAnklePitchBearing-1;leftCalf-2,leftleg_ankle_pitch_link,A_left_leg_ankle_pitch_link,left_ankle_pitch_joint,revolute,0,0,0.02,0,0,0,left_ankle_roll_link,0,1,0,0,0,0,0,,,0.001,0.001,,,,
left_knee_link,-2.58450628787266E-07,0.00461323228001742,0.29953236993274,0,0,0,11.2473004285205,0.231394540275476,-5.58376417169465E-08,-4.18812426494861E-07,0.228879485572433,-0.0219112442412008,0.0342739794699088,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_knee_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_knee_link.STL,,leftThigh-2,left_leg_knee_link,A_left_leg_knee_pitch_link,left_knee_joint,revolute,-0.0068228,0.027847,0.45183,0.11075,0,0,left_ankle_pitch_link,0,1,0,0,0,0,0,,,0.001,0.001,,,,
left_hip_yaw_link,5.55111512312578E-17,-1.11022302462516E-16,0.00999999999999979,0,0,0,0.00207140911614445,8.19932775140523E-08,8.27180612553028E-25,-1.34416849539867E-22,8.19932775140523E-08,-1.82806915374219E-22,2.58926139518056E-08,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,,leftHipYawBearing-1,left_leg_yaw_link,A_left_leg_yaw_link,left_hip_yaw_joint,revolute,0,0.029761,0.52996,-0.11075,0,0,left_knee_link,0,0,1,0,0,0,0,,,0.001,0.001,,,,
left_hip_roll_link,-5.55111512312578E-17,0,0,0,0,0,0.00258926139518054,8.09144185993918E-09,3.17327162490655E-22,5.45318818825583E-22,2.16176355024709E-06,1.05879118406788E-22,2.16176355024709E-06,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,,leftHipRollBearing-3,left_leg_roll_link,A_left_leg_roll_link,left_hip_roll_joint,revolute,0,0,0.025,0,0,0,left_hip_yaw_link,1,0,0,0,0,0,0,,,0.001,0.001,,,,
left_hip_pitch_link,-0.0355458718643972,-0.12499444274396,0.234605037143753,0,0,0,34.9443328221057,0.938544710094071,2.08166817117217E-17,0.000145213603091533,0.669072804964508,-5.55111512312578E-17,0.436476449408669,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,,Body-4;leftHipPitchBearing-2,left_leg_pitch_link,A_left_leg_pitch_link,left_hip_pitch_joint,revolute,0.035,0,0.033287,0,0,0,left_hip_roll_link,0,1,0,0,0,0,0,,,,,,,,
right_hip_pitch_link,5.55111512312578E-17,3.33066907387547E-16,4.44089209850063E-16,0,0,0,0.00155355683710833,4.68494483690481E-07,-1.27179019180028E-22,-6.61744490042422E-24,4.85486511596351E-09,1.9697238336419E-22,4.68494483690481E-07,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,,rightHipPitchBearing-1,right_leg_pitch_link,A_left_leg_pitch_link,right_hip_pitch_joint,revolute,-0.03,-0.25,0,0,0,0,left_hip_pitch_link,0,1,0,0,0,0,0,,,,,,,,
right_hip_roll_link,-5.55111512312578E-17,1.11022302462516E-16,-4.44089209850063E-16,0,0,0,0.00258926139518054,8.09144185993921E-09,-8.37727165363079E-22,8.55718343686107E-22,2.16176355024708E-06,0,2.16176355024708E-06,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,,rightRollBearing-1,right_leg_roll_link,A_right_leg_roll_link,right_hip_roll_joint,revolute,-0.005,0,-0.033287,0,0,0,right_hip_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_hip_yaw_link,-2.58108428741188E-07,-0.00049537789782772,-0.241869117775755,0,0,0,11.2499308352147,0.231289034838727,-1.32037611313279E-08,-4.21841390180634E-07,0.231216934943634,-1.14500137332434E-07,0.0318330449013239,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://9Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,,rightThigh-3,right_leg_yaw_link,A_right_leg_yaw_link,right_hip_yaw_joint,revolute,0,0,-0.015,0,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
